row,country,store,issue_types,current_status,current_note,current_google_name,current_link,scraped_status,scraped_google_name,scraped_rating,scraped_reviews,scraped_link,suggested_status,suggested_note,confidence,reason,current_reviews
267,阿联酋,HCT Nahda,需人工核对,需人工核对,未能从页面可见文本解析到评分与评论数；HTTP兜底无可用结构化数据,Cotti Coffee-HCT Nahda,https://www.google.com/maps/search/Cotti+Coffee+HCT+Nahda+United+Arab+Emirates,需人工核对,Cotti Coffee-HCT Nahda,,,https://www.google.com/maps/search/Cotti+Coffee+HCT+Nahda+United+Arab+Emirates,暂无评分评论,【confirmed:no_reviews】真实门店，暂无评分评论,中,页面有匹配的 Cotti/库迪门店名称，但未解析到评分评论,
275,阿联酋,Muraqqabat,"reject备注, 需人工核对",需人工核对,【reject】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - Muraqqabat Express → 本次: Cotti Coffee - Al Ghurair Center 4.4(76) · AED 1–50 Coffee store · Al Rigga Rd Open · Closes 10 PM Onsite services Cotti Coff）,Cotti Coffee - Muraqqabat Express,https://www.google.com/maps/search/Cotti+Coffee+Muraqqabat+United+Arab+Emirates,已查询,Cotti Coffee Muraqqabat United Arab Emirates Available filters for this search Learn more about legal disclosure regarding pu,4.4,76,https://www.google.com/maps/search/Cotti+Coffee+Muraqqabat+United+Arab+Emirates,需人工核对,【pending:ambiguous】Google 门店名称疑似搜索结果面板文本：Cotti Coffee Muraqqabat United Arab Emirates Available filters for this search Learn more about legal disclosure regardi,中,名称像搜索页面聚合文本，不像单个门店名称,6
276,阿联酋,Publishing Pavilion,需人工核对,需人工核对,未能从页面可见文本解析到评分与评论数；HTTP兜底无可用结构化数据,Cotti Coffee- Publishing Pavilion,"https://www.google.com/maps/place/Cotti+Coffee-+Publishing+Pavilion/@25.0364884,55.1903917,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6dbb082e6f63:0xfe5fba05b497e4d7!8m2!3d25.0364884!4d55.1903917!16s%2Fg%2F11z6qsljyb?entry=ttu",需人工核对,Cotti Coffee- Publishing Pavilion,,,"https://www.google.com/maps/place/Cotti+Coffee-+Publishing+Pavilion/@25.0364884,55.1903917,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6dbb082e6f63:0xfe5fba05b497e4d7!8m2!3d25.0364884!4d55.1903917!16s%2Fg%2F11z6qsljyb?entry=ttu",暂无评分评论,【confirmed:no_reviews】真实门店，暂无评分评论,中,页面有匹配的 Cotti/库迪门店名称，但未解析到评分评论,
281,阿联酋,Singlong,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 9 → 本次 8），疑似抓取错误,Cotti Coffee-Singlong,"https://www.google.com/maps/place/Cotti+Coffee-Singlong/@25.1031413,55.1658798,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6bbe3dad006d:0x7e0fc9b6a6d5b08!8m2!3d25.1031413!4d55.1658798!16s%2Fg%2F11wvc8tfc8?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,Cotti Coffee-Singlong,5.0,8,"https://www.google.com/maps/place/Cotti+Coffee-Singlong/@25.1031413,55.1658798,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6bbe3dad006d:0x7e0fc9b6a6d5b08!8m2!3d25.1031413!4d55.1658798!16s%2Fg%2F11wvc8tfc8?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 9 → 本次 8）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,9
296,马来西亚,Plaza KLTS,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 48 → 本次 47），疑似抓取错误,Cotti Coffee 库迪咖啡 - Plaza KLTS,https://www.google.com/maps/search/Cotti+Coffee+Plaza+KLTS+Malaysia,已查询,Cotti Coffee 库迪咖啡 - Plaza KLTS,4.3,47,https://www.google.com/maps/search/Cotti+Coffee+Plaza+KLTS+Malaysia,需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 48 → 本次 47）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,48
299,马来西亚,Sunway Carnival Mall,"reject备注, 需人工核对",需人工核对,【reject】评论数异常暴增（原 29 → 本次 106），疑似误命中商场/其它POI,COTTI COFFEE 库迪咖啡- Sunway Carnival Mall,https://www.google.com/maps/search/Cotti+Coffee+Sunway+Carnival+Mall+Malaysia,已查询,,4.3,106,https://www.google.com/maps/search/Cotti+Coffee+Sunway+Carnival+Mall+Malaysia,需人工核对,【pending:ambiguous】抓到评分评论但未抓到 Google 门店名称，需要人工确认真实链接,中,缺少 Google 门店名称，不能自动确认同店,29
306,马来西亚,Wisma New Asia,需人工核对,需人工核对,搜索结果第一条不确定（名称/地域与目标门店匹配度低）,Cotti Coffee 库迪咖啡 - Wisma New Asia,https://www.google.com/maps/search/Cotti+Coffee+Wisma+New+Asia+Malaysia,需人工核对,,,,https://www.google.com/maps/search/Cotti+Coffee+Wisma+New+Asia+Malaysia,需人工核对,【pending:ambiguous】搜索结果不确定，需要人工确认真实链接,中,搜索结果第一条不确定（名称/地域与目标门店匹配度低）,
342,越南,Golden Plaza,"reject备注, 需人工核对",需人工核对,「reject」门店名称疑似非 Cotti，可能误命中其它POI（解析到: - Golden Plaza）；建议加 --headful 补跑本行。,暂停营业,"https://www.google.com/maps/place/-+Golden+Plaza/@10.7534574,106.5723192,12z/data=!4m10!1m2!2m1!1sGolden+Plaza+cotti!3m6!1s0x31752f001f384c81:0x32c35db199c380dd!8m2!3d10.7530064!4d106.655033!15sChJHb2xkZW4gUGxhemEgY290dGlaFCISZ29sZGVuIHBsYXphIGNvdHRpkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpPVWxoVWpSQlJSQULgAQD6AQQIABAs!16s%2Fg%2F11wh1sz6fg?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,,4.5,83,"https://www.google.com/maps/place/-+Golden+Plaza/@10.7534574,106.5723192,12z/data=!4m10!1m2!2m1!1sGolden+Plaza+cotti!3m6!1s0x31752f001f384c81:0x32c35db199c380dd!8m2!3d10.7530064!4d106.655033!15sChJHb2xkZW4gUGxhemEgY290dGlaFCISZ29sZGVuIHBsYXphIGNvdHRpkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpPVWxoVWpSQlJSQULgAQD6AQQIABAs!16s%2Fg%2F11wh1sz6fg?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【pending:ambiguous】抓到评分评论但未抓到 Google 门店名称，需要人工确认真实链接,中,缺少 Google 门店名称，不能自动确认同店,
347,日本,難波店,需人工核对,需人工核对,门店名称疑似非 Cotti，可能误命中其它POI（解析到: Results）；建议加 --headful 补跑本行。,,"google.com/maps/place/Cotti+Coffee+大阪難波店+コッティコーヒー/@35.1962641,137.6331062,8z/data=!4m10!1m2!2m1!1zQ290dGkgQ29mZmVlIOmbo-azouW6lyBKYXBhbg!3m6!1s0x6000e7a18b2152e9:0xbfacc9ba3fd1e8d8!8m2!3d34.6690893!4d135.4936538!15sChxDb3R0aSBDb2ZmZWUg6Zuj5rOi5bqXIEphcGFuWh8iHWNvdHRpIGNvZmZlZSDpm6Pms6Ig5bqXIGphcGFukgEEY2FmZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyczFkV0ZVVG05UFNGWTFaVmRLUkZScmNGbGtNVm93V201V1ZWVkdSUkFC4AEA-gEECAAQFw!16s%2Fg%2F11mdv_n324?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,,4.5,83,"https://www.google.com/maps/place/-+Golden+Plaza/@10.7534574,106.5723192,12z/data=!4m10!1m2!2m1!1sGolden+Plaza+cotti!3m6!1s0x31752f001f384c81:0x32c35db199c380dd!8m2!3d10.7530064!4d106.655033!15sChJHb2xkZW4gUGxhemEgY290dGlaFCISZ29sZGVuIHBsYXphIGNvdHRpkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpPVWxoVWpSQlJSQULgAQD6AQQIABAs!16s%2Fg%2F11wh1sz6fg?entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【pending:ambiguous】抓到评分评论但未抓到 Google 门店名称，需要人工确认真实链接,中,缺少 Google 门店名称，不能自动确认同店,
349,澳大利亚,Eastgardens,需人工核对,需人工核对,门店名称疑似非 Cotti，可能误命中其它POI（解析到: Results）；建议加 --headful 补跑本行。,,https://www.google.com/maps/search/Cotti+Coffee+Eastgardens+Australia,已查询,COTTI COFFEE (Kingsford) 4.2(29) · A$1–20 Cafe ·  · 466 Anzac Parade Closes soon · 8 PM · Opens 8:30 AM Wed Dine-in · Takeou,4.6,69,https://www.google.com/maps/search/Cotti+Coffee+Eastgardens+Australia,需人工核对,【reject:store_mismatch】Google门店名称与底表门店名差异较大（底表: Eastgardens → 本次: COTTI COFFEE (Kingsford) 4.2(29) · A$1–20 Cafe ·  · 466 Anzac Parade Closes soon · 8 PM · Opens 8:30 AM Wed Dine-in · Takeou）,中,抓取名称没有匹配到底表门店核心词，疑似同品牌其它门店,
